City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
218,218,Salalah,17.0151,54.0924,80.69,83,75,8.05,OM,2021-10-10 16:19:46,broken clouds
221,221,Sumbe,-11.2061,13.8437,75.83,77,37,4.34,AO,2021-10-10 16:19:47,scattered clouds
222,222,Tabou,4.423,-7.3528,80.94,77,100,8.5,CI,2021-10-10 16:19:47,overcast clouds
231,231,Puerto Escondido,15.85,-97.0667,85.23,64,92,3.2,MX,2021-10-10 16:19:50,overcast clouds
235,235,Nanganga,-10.3833,39.15,76.08,71,95,11.5,TZ,2021-10-10 16:19:52,overcast clouds
237,237,Kirakira,-10.4544,161.9205,77.5,87,99,4.03,SB,2021-10-10 16:19:52,overcast clouds
240,240,Sucua,-2.4667,-78.1667,75.94,78,75,2.3,EC,2021-10-10 16:19:53,light rain
248,248,Tirumullaivasal,11.2333,79.8333,77.61,93,100,12.8,IN,2021-10-10 16:19:56,heavy intensity rain
249,249,Mushie,-3.0167,16.9,80.04,79,100,6.35,CD,2021-10-10 16:19:56,light rain
252,252,Mulanje,-16.0316,35.5,85.41,23,0,12.21,MW,2021-10-10 16:19:57,clear sky
253,253,Kyabe,9.4515,18.9449,84.42,73,100,2.44,TD,2021-10-10 16:19:57,overcast clouds
261,261,Mogadishu,2.0371,45.3438,78.93,84,15,13.31,SO,2021-10-10 16:17:21,few clouds
262,262,Warri,5.5167,5.75,81.61,81,99,4.97,NG,2021-10-10 16:20:00,moderate rain
267,267,Etchojoa,26.9167,-109.6333,82.89,38,0,4.38,MX,2021-10-10 16:20:02,clear sky
269,269,Caracoli,6.4119,-74.7606,75.87,92,63,1.9,CO,2021-10-10 16:20:03,broken clouds
270,270,Serenje,-13.2325,30.2352,79.54,27,18,2.42,ZM,2021-10-10 16:20:04,few clouds
271,271,Labuhan,-6.8844,112.2051,79.59,74,64,9.37,ID,2021-10-10 16:20:05,broken clouds
273,273,Paralimni,35.0375,33.9833,77.88,82,0,3.0,CY,2021-10-10 16:20:05,clear sky
274,274,Kigoma,-4.8769,29.6267,82.27,54,83,4.09,TZ,2021-10-10 16:20:06,broken clouds
275,275,Saurimo,-9.6608,20.3916,89.22,22,58,4.45,AO,2021-10-10 16:20:07,broken clouds
276,276,Georgetown,5.4112,100.3354,81.9,86,20,2.3,MY,2021-10-10 16:27:01,light rain
281,281,Sao Filipe,14.8961,-24.4956,81.66,69,0,4.63,CV,2021-10-10 16:19:30,clear sky
282,282,Hobyo,5.3505,48.5268,79.59,84,15,18.52,SO,2021-10-10 16:19:36,few clouds
287,287,Port-Gentil,-0.7193,8.7815,80.56,78,40,9.22,GA,2021-10-10 16:20:11,scattered clouds
