City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
59,Hambantota,6.1241,81.1185,80.85,80,100,18.61,LK,2021-10-10 16:19:04,overcast clouds
60,Sitka,57.0531,-135.33,44.49,81,75,9.22,US,2021-10-10 16:19:04,light rain
61,Faanui,-16.4833,-151.75,79.3,72,64,11.27,PF,2021-10-10 16:19:04,broken clouds
62,Aasiaat,68.7098,-52.8699,31.17,72,100,5.39,GL,2021-10-10 16:19:04,overcast clouds
63,Atuona,-9.8,-139.0333,78.01,71,4,18.45,PF,2021-10-10 16:28:49,clear sky
64,Avarua,-21.2078,-159.775,64.45,100,98,1.14,CK,2021-10-10 16:18:58,overcast clouds
65,Chokurdakh,70.6333,147.9167,11.57,91,92,5.53,RU,2021-10-10 16:28:50,overcast clouds
66,Skotina,40.0147,22.5515,59.72,95,100,0.69,GR,2021-10-10 16:19:05,overcast clouds
67,Carauari,-4.8828,-66.8958,97.79,38,39,3.04,BR,2021-10-10 16:19:05,scattered clouds
68,East London,-33.0153,27.9116,61.74,63,0,11.5,ZA,2021-10-10 16:19:06,clear sky
69,Atar,20.5169,-13.0499,101.14,10,17,10.63,MR,2021-10-10 16:19:06,few clouds
70,Balaipungut,1.05,101.2833,75.61,96,99,2.44,ID,2021-10-10 16:19:06,overcast clouds
71,Pundaguitan,6.3711,126.1689,84.43,71,100,7.94,PH,2021-10-10 16:19:07,overcast clouds
72,Port Lincoln,-34.7333,135.8667,52.66,56,66,11.68,AU,2021-10-10 16:28:51,broken clouds
73,Farafangana,-22.8167,47.8333,73.02,80,6,13.47,MG,2021-10-10 16:19:07,clear sky
74,Kalmunai,7.4167,81.8167,82.69,75,100,3.65,LK,2021-10-10 16:19:08,overcast clouds
75,Mago,53.2514,140.1822,45.54,95,100,8.01,RU,2021-10-10 16:19:08,moderate rain
76,Santo Tomas,14.1079,121.1414,81.54,94,55,6.96,PH,2021-10-10 16:19:08,broken clouds
